INSERT INTO `t_question` (`question_type`, `subject_id`, `score`, `correct`, `content`, `options`, `image`) VALUES
(1, 1, 10, 'B', '使用Java语言编写的源程序保存时的文件扩展名是（ ）。', 'A:.class,B:.java,C:.cpp,D:.txt', NULL),
(1, 1, 10, 'C', '设int a=-2，则表达式a>>>3的值为（ ）。', 'A:0,B:3,C:8,D:-1', NULL),
(1, 1, 10, 'C', '设有数组的定义int[] a = new int[3]，则下面对数组元素的引用错误的是（ ）。', 'A:a[0],B:a[a.length-1],C:a[3],D:int i=1； a[i]', NULL),
(1, 1, 10, 'D', '在类的定义中可以有两个同名函数，这种现象称为函数（ ）。', 'A:封装,B:继承,C:覆盖,D:重载', NULL),
(1, 1, 10, 'D', '在类的定义中构造函数的作用是（ ）。', 'A:保护成员变量,B:读取类的成员变量,C:描述类的特征,D:初始化成员变量', NULL),
(1, 1, 10, 'B', '下面关键字中，哪一个不是用于异常处理语句（ ）。', 'A:try,B:break,C:catch,D:finally', NULL),
(1, 1, 10, 'A', '类与对象的关系是（ ）。', 'A:类是对象的抽象,B:对象是类的抽象,C:对象是类的子类,D:类是对象的具体实例', NULL),
(1, 1, 10, 'D', '下面哪一个是Java中不合法的标识符（ ）。', 'A:$persons,B:twoNum,C:_myVar,D:point', NULL),
(1, 1, 10, 'A', '为AB类的一个无形式参数无返回值的方法method书写方法头，使得使用类名AB作为前缀就可以调用它，该方法头的形式为( )。', 'A:static void method( ),B:public void method( ),C:final void method( ),D:abstract void method( )', NULL),
(1, 1, 10, 'C', 'Java源文件和编译后的文件扩展名分别为（ ）', 'A:.class和.java,B:.java和.class,C:.class和.class,D:.java和.java', NULL),
(1, 1, 10, 'B', '在Java Applet程序用户自定义的Applet子类中，一般需要重载父类的( )方法来完成一些画图操作。', 'A:start( ),B:stop( ),C:init( ),D:paint( )', NULL),
(1, 1, 10, 'D', '对于一个Java源文件，import, class定义以及package正确的顺序是：', 'A:package,import,class,B:class,import,package,C:import,package,class,D:package,class,import', NULL),
(1, 1, 10, 'D', '下面哪个是非法的：', 'A:int I = 32,B:float f = 45.0,C:double d = 45.0,D:char c = ‘u’', NULL),
(1, 1, 10, 'D', 'Java语言使用的字符码集是', 'A:ASCII,B:BCD,C:DCB,D:Unicode', NULL),
(1, 1, 10, 'C', '如果一个类的成员变量只能在所在类中使用，则该成员变量必须使用的修饰是', 'A:public,B:protected,C:private,D:static', NULL),
(1, 1, 10, 'B', '下面关于main方法说明正确的是', 'A:public main(String args[ ]),B:public static void main(String args[ ]),C:private static void main(String args[ ]),D:void main()', NULL),
(1, 1, 10, 'B', '哪个关键字可以对对象加互斥锁？', 'A:transient,B:synchronized,C:serialize,D:static', NULL),
(1, 1, 10, 'D', '关于抽象方法的说法正确的是', 'A:可以有方法体,B:可以出现在非抽象类中,C:是没有方法体的方法,D:抽象类中的方法都是抽象方法', NULL),
(1, 1, 10, 'D', 'java.io包的File类是', 'A:字符流类,B:字节流类,C:对象流类,D:非流类', NULL),
(1, 1, 10, 'B', 'Java application中的主类需包含main方法，以下哪项是main方法的正确形参？', 'A:String args,B:String args[],C:Char arg,D:StringBuffer args[]', NULL),
(1, 1, 10, 'A', '以下代码段执行后的输出结果为', 'A:-1,B:2,C:1,D:3', NULL),
(1, 1, 10, 'A', '以下关于继承的叙述正确的是', 'A:在Java中类只允许单一继承,B:在Java中一个类只能实现一个接口,C:在Java中一个类不能同时继承一个类和实现一个接口,D:在Java中接口只允许单一继承', NULL),
